Designator,Mid X,Mid Y,Rotation,Layer
D1,9.525008,-14.287512,180.0,bottom
D10,61.912552,-52.387544,180.0,bottom
D11,66.675056,-14.287512,180.0,bottom
D12,71.43756,-33.337528,180.0,bottom
D13,80.962568,-52.387544,180.0,bottom
D14,71.43756,-71.43756,180.0,bottom
D15,85.725072,-14.287512,180.0,bottom
D16,90.487576,-33.337528,180.0,bottom
D17,100.012584,-52.387544,180.0,bottom
D18,104.775088,-14.287512,180.0,bottom
D19,109.537592,-33.337528,180.0,bottom
D2,11.5,-33.337528,180.0,bottom
D20,119.0626,-52.387544,180.0,bottom
D21,119.0626,-75.009438,180.0,bottom
D22,123.825104,-14.287512,180.0,bottom
D23,128.587608,-33.337528,180.0,bottom
D24,138.112616,-52.387544,180.0,bottom
D25,142.87512,-14.287512,180.0,bottom
D26,147.637624,-33.337528,180.0,bottom
D27,157.162632,-52.387544,180.0,bottom
D28,161.925136,-14.287512,180.0,bottom
D29,166.68764,-33.337528,180.0,bottom
D3,16.668764,-51.792231,180.0,bottom
D30,176.212648,-52.387544,180.0,bottom
D31,166.68764,-75.009438,180.0,bottom
D32,180.975152,-14.287512,180.0,bottom
D33,185.737656,-33.337528,180.0,bottom
D34,195.262664,-52.387544,180.0,bottom
D35,200.025168,-71.43756,180.0,bottom
D36,200.025168,-14.287512,180.0,bottom
D37,204.787672,-33.337528,180.0,bottom
D38,214.31268,-52.387544,180.0,bottom
D39,226.21894,-14.287512,180.0,bottom
D4,28.575024,-14.287512,180.0,bottom
D40,228.600192,-33.337528,180.0,bottom
D41,233.362696,-52.387544,180.0,bottom
D5,33.337528,-33.337528,180.0,bottom
D6,42.862536,-52.387544,180.0,bottom
D7,38.100032,-71.43756,180.0,bottom
D8,47.62504,-14.287512,180.0,bottom
D9,52.387544,-33.337528,180.0,bottom
SW1,9.525,-9.525,0.0,bottom
SW10,61.9125,-47.625,0.0,bottom
SW11,66.675,-9.525,0.0,bottom
SW12,71.4375,-28.575,0.0,bottom
SW13,80.9625,-47.625,0.0,bottom
SW14,71.4375,-66.675056,0.0,bottom
SW15,85.725,-9.525,0.0,bottom
SW16,90.4875,-28.575,0.0,bottom
SW17,100.0125,-47.625,0.0,bottom
SW18,104.775,-9.525,0.0,bottom
SW19,109.5375,-28.575,0.0,bottom
SW2,11.90625,-28.575,0.0,bottom
SW20,119.0625,-47.625,0.0,bottom
SW21,116.68125,-66.675,0.0,bottom
SW21_1,119.0625,-66.675,180.0,bottom
SW22,123.825,-9.525,0.0,bottom
SW23,128.5875,-28.575,0.0,bottom
SW24,138.1125,-47.625,0.0,bottom
SW25,142.875,-9.525,0.0,bottom
SW26,147.6375,-28.575,0.0,bottom
SW27,157.1625,-47.625,0.0,bottom
SW28,161.925,-9.525,0.0,bottom
SW29,166.6875,-28.575,0.0,bottom
SW3,16.66875,-47.625,0.0,bottom
SW30,176.2125,-47.625,0.0,bottom
SW31,164.306388,-66.675056,0.0,bottom
SW31_1,166.68764,-66.675056,180.0,bottom
SW32,180.975,-9.525,0.0,bottom
SW33,185.7375,-28.575,0.0,bottom
SW34,195.2625,-47.625,0.0,bottom
SW35,200.025,-66.675,0.0,bottom
SW36,200.025,-9.525,0.0,bottom
SW37,204.7875,-28.575,0.0,bottom
SW38,214.3125,-47.625,0.0,bottom
SW39,226.21875,-9.525,0.0,bottom
SW4,28.575,-9.525,0.0,bottom
SW40,228.6,-28.575,0.0,bottom
SW41,233.3625,-47.625,0.0,bottom
SW5,33.3375,-28.575,0.0,bottom
SW6,42.8625,-47.625,0.0,bottom
SW7,38.100032,-66.675,0.0,bottom
SW8,47.625,-9.525,0.0,bottom
SW9,52.3875,-28.575,0.0,bottom
